タスクID,カテゴリ,タスク,担当,予定日,完了日,ステータス,依存タスク,備考
T01,事前準備,スクリプト最終化,松田,2026-05-12,,完了,,press_release_physical_ai.md
T02,事前準備,絵コンテ作成,松田,2026-05-13,,未着手,T01,各パートのカット詳細
T03,事前準備,BGM・SE選定,松田,2026-05-13,,未着手,,YouTubeオーディオライブラリ
T04,取材準備,田向教授へのインタビュー依頼最終確認,松田,2026-05-12,,未着手,,
T05,取材準備,撮影機材準備（ピンマイク・三脚・カメラ）,松田,2026-05-12,,未着手,,
T06,取材撮影,九州工業大学 田向研究室での取材,松田,2026-05-13,,未着手,T04 T05,Part3メイン
T07,自社撮影,Part1 オープニングカット撮影,松田,2026-05-14,,未着手,T02,3カット
T08,自社撮影,Part2 強み・ラティス構造撮影,松田,2026-05-14,,未着手,T02,5カット
T09,自社撮影,Part4 PoC Loop社内撮影,松田,2026-05-15,,未着手,T02,4カット
T10,自社撮影,Part5 クロージング撮影,松田,2026-05-15,,未着手,T02,2カット
T11,グラフィック,Part1 課題図解アニメ作成,松田,2026-05-16,,未着手,,Canva or After Effects
T12,グラフィック,Part2 強みアイコン・Synergy図作成,松田,2026-05-16,,未着手,,
T13,グラフィック,Part4 PoC Loop循環図作成,松田,2026-05-16,,未着手,,
T14,グラフィック,Part5 数字パネル・ロゴアニメ作成,松田,2026-05-17,,未着手,,公開許諾確認後
T15,編集,素材整理・プロジェクト作成,松田,2026-05-18,,未着手,T06 T07 T08 T09 T10,
T16,編集,ラフカット作成（全パート配置）,松田,2026-05-18,,未着手,T15,
T17,編集,スロー処理適用,松田,2026-05-19,,未着手,T16,60fps→50%
T18,編集,テロップ追加,松田,2026-05-19,,未着手,T16,physical_ai_video_telop.csv参照
T19,編集,グラフィック挿入,松田,2026-05-20,,未着手,T17 T11 T12 T13 T14,
T20,編集,BGM・SE配置,松田,2026-05-20,,未着手,T17 T03,
T21,編集,カラーグレーディング,松田,2026-05-21,,未着手,T19,
T22,編集,最終チェック・調整,松田,2026-05-21,,未着手,T21,通し再生
T23,確認,田向教授に動画確認依頼,松田,2026-05-22,,未着手,T22,先方確認
T24,確認,KiQ社内承認,松田,2026-05-22,,未着手,T22,
T25,公開準備,プレスリリース文書最終化,松田,2026-05-25,,未着手,T23 T24,
T26,公開準備,サムネイル作成,松田,2026-05-25,,未着手,,
T27,公開準備,複数フォーマットで書き出し,松田,2026-05-25,,未着手,T23 T24,YouTube・HP・SNS用
T28,公開,YouTube公開,松田,2026-05-26,,未着手,T27,
T29,公開,自社HP埋め込み,松田,2026-05-26,,未着手,T27,フィジカルAIページ
T30,公開,PR TIMES配信,松田,2026-05-26,,未着手,T25 T27,
T31,公開,SNS横展開（X・LinkedIn等）,松田,2026-05-26,,未着手,T27,
