"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"5月1日","【搬送チャレンジ】コイン10枚、柔軟指 vs 通常ハンドどっちが早い？#柔軟指 #ロボット  #自動化      ","https://www.tiktok.com/@kiq_robotics/video/7626672146743397653","4月9日","5","0","0","4495"
"5月1日","柔軟指で水が満杯のコップを掴めるのか？ #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7624087521009634580","4月2日","4","1","0","2371"
"5月1日","柔軟指でこんにゃく掴めるの？ #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7628195100794916116","4月13日","4","0","0","1703"
"5月1日","硬さの違う柔軟指で把持検証してみた！ #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7624441992084213013","4月3日","7","0","0","1623"
"5月1日","大量のネジ把持チャレンジ！ #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7628601616257584405","4月14日","4","0","0","1298"
"5月1日","柔軟指でアクリル板を繰り返し持つと傷がつくの？ #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7631507304495467797","4月22日","2","0","0","1152"
"5月1日","豆腐、柔軟指で掴んだらどうなる？#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7623361308720745749","3月31日","6","0","0","3472"
"5月1日","形状違いのワークの把持、諦めていませんか？ 形状が違うコネクタを柔軟指で把持してみました。 #柔軟指 #ロボットハンド #グリッパー #産業ロボット #自動化","https://www.tiktok.com/@kiq_robotics/video/7623703991871868180","4月1日","4","0","0","1030"
"5月1日","柔軟指で工業部品掴んでみた！ #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7631217746696555797","4月21日","4","0","0","1029"
"5月1日","おにぎりを柔軟指で掴んでみた！ #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7630787201407749396","4月20日","3","0","1","1005"
"5月1日","色々な工具を柔軟指で掴んでみました！ #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7626313430584134933","4月8日","4","0","0","969"
"5月1日","形バラバラの容器4種、全部掴める？【柔軟指 vs 金属爪】#柔軟指 #ロボット ","https://www.tiktok.com/@kiq_robotics/video/7628923124515392788","4月15日","7","0","0","964"
"5月1日","生卵、ロボットで掴んだら割れる？ #柔軟指 #ロボット #グリッパー #自動化    ","https://www.tiktok.com/@kiq_robotics/video/7625935470135889172","4月7日","7","0","0","960"
"5月1日","柔軟指のトヨタ自動車への導入事例です。 #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい #トヨタ自動車 ","https://www.tiktok.com/@kiq_robotics/video/7615544694726036757","3月10日","620","16","31","81652"
"5月1日","会社にあるもので10連続把持チャレンジ！ #柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい","https://www.tiktok.com/@kiq_robotics/video/7633387313162177812","4月27日","5","2","0","468"
