コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
合計,,,,30814,80.9423,6,8644,2.74
_smhaZZpo8k,【搬送チャレンジ】コイン10枚、柔軟指 vs 通常ハンドどっちが早い？#柔軟指 #ロボット  #自動化,"Apr 9, 2026",19,9787,32.1553,1,826,2.78
gcgM4-JgN4Q,豆腐、柔軟指で掴んだらどうなる？#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Mar 31, 2026",15,2498,7.4771,0,251,1.2
1cbIEhQVtoE,会社にあるもので10連続把持チャレンジ！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Apr 27, 2026",24,1709,2.0834,0,156,2.56
oNrqMtJ_auQ,大量のネジ掴みチャレンジ！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Apr 14, 2026",18,1511,4.9137,0,274,4.01
hHChsPZ28oY,形バラバラの容器4種、全部掴める？【柔軟指 vs 金属爪】#柔軟指 #ロボット,"Apr 15, 2026",27,1500,3.2073,0,424,2.36
qBv28gcCVp4,柔軟指で工業部品掴んでみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Apr 21, 2026",18,1463,2.621,1,168,4.17
_zzS7HWSTvA,柔軟指でチェスの駒を並べてみた！#柔軟指 #ロボット #自動化 #製造業 #チェス,"Apr 16, 2026",26,1363,1.9287,0,200,2
TjlSaUfk3F4,明日4/25(土)北九州市市政テレビ番組「北九州Actionファイル KITA CUBE」にて明日KiQ Roboticsが紹介されます！ぜひご覧ください。 #柔軟指 #テレビ,"Apr 24, 2026",20,1290,0.3702,0,168,0.6
clhxnSv3LcM,生卵、ロボットで掴んだら割れる？#柔軟指 #ロボット #把持,"Apr 7, 2026",32,1207,2.7216,0,195,6.67
cKDYcoG_a_w,柔軟指で水で満杯のコップをこぼさずもてるのか検証！#柔軟指 #ロボット,"Apr 2, 2026",17,1187,2.9339,0,174,7.47
OBhmrr6C75Q,色々な工具を柔軟指でつかめるの？,"Apr 8, 2026",34,1170,2.9275,0,174,5.17
jePzlc_08_A,硬さの違う柔軟指で把持検証してみた！ #柔軟指 #ロボット #ai #自動化,"Apr 3, 2026",26,1072,2.3807,0,207,7.25
AJqS07tP58o,柔軟指でこんにゃく掴めるの？#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Apr 13, 2026",21,1004,2.2,0,166,1.81
DWCJM4ZNgm8,おにぎりを柔軟指で掴んでみた！#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Apr 20, 2026",36,978,2.6314,1,186,2.69
L5cXEIV61zc,柔軟指でアクリル板を繰り返し持つと傷がつくの？#柔軟指 #ロボット #自動化 #製造業をもっと盛り上げたい,"Apr 22, 2026",27,877,2.1704,0,137,2.92
eqxdcs9KxLs,明後日4/25(土)北九州市市政テレビ番組「北九州Actionファイル KITA CUBE」にて明日KiQ Roboticsが紹介されます！ぜひご覧ください。 #柔軟指 #テレビ,"Apr 23, 2026",20,356,0.1238,0,238,0.42
