パート,開始秒,終了秒,テロップID,文言,サイズ(pt),色,位置,アニメーション,備考
Part1,0:00,0:05,T1-1,AIが見て、考えて、動作を生成しても、,50,白＋黒縁,画面下中央,フェードイン,
Part1,0:05,0:10,T1-2,最後にワークへ触れるのはロボットの指先です。,50,白＋黒縁,画面下中央,フェードイン,
Part1,0:10,0:20,T1-3,最後の接点から、フィジカルAIを現場へ。,70,白＋黒縁,画面中央,ズームイン,キャッチコピー
Part1,0:15,0:20,T1-4,KiQ Robotics 柔軟指,40,白＋黒縁,画面下中央,フェードイン,
Part2,0:20,0:25,T2-1,柔軟指 × フィジカルAI、3つの強み,55,白＋黒縁,画面上,スライドイン,
Part2,0:25,0:35,T2-2,① 多品種・少量生産への対応,60,白＋黒縁,画面下,フェードイン,
Part2,0:25,0:35,T2-3,形状変化に追従するラティス構造,35,黄＋黒縁,画面下サブ,フェードイン,
Part2,0:35,0:45,T2-4,② 位置ずれ・姿勢ずれの補正,60,白＋黒縁,画面下,フェードイン,
Part2,0:35,0:45,T2-5,数mmのずれを物理側で補正,35,黄＋黒縁,画面下サブ,フェードイン,
Part2,0:45,0:55,T2-6,③ 傷つきやすいワークへの対応,60,白＋黒縁,画面下,フェードイン,
Part2,0:45,0:55,T2-7,面接触による優しい把持,35,黄＋黒縁,画面下サブ,フェードイン,
Part2,0:55,1:00,T2-8,AI制御の難しさを、物理側で下げる,50,白＋黒縁,画面中央,ズームイン,
Part3,1:00,1:05,T3-1,研究活用事例,55,白＋黒縁,画面上,スライドイン,
Part3,1:05,1:10,T3-2,九州工業大学大学院,40,白＋黒縁,画面下,フェードイン,
Part3,1:05,1:10,T3-3,Hibikino-Musashi@Home,35,白＋黒縁,画面下サブ,フェードイン,
Part3,1:10,1:15,T3-4,田向 権 教授,50,白＋黒縁,画面下中央（名前カード）,スライドイン,名前カード形式
Part3,1:15,1:55,T3-5,インタビュー字幕（発言内容）,40,白＋黒縁,画面下中央,フェードイン,発言ごとに切替
Part3,1:25,1:35,T3-6,指先の合わせ込みがラフでも掴める,50,黄＋黒縁,画面中央,ハイライト,発言から引用
Part4,1:55,2:00,T4-1,開発アプローチ：PoC Loop,55,白＋黒縁,画面上,スライドイン,
Part4,2:00,2:05,T4-2,① 可搬データ収集,55,白＋黒縁,画面下,フェードイン,
Part4,2:00,2:05,T4-3,ハンドガイド・手先視点で効率化,30,黄＋黒縁,画面下サブ,フェードイン,
Part4,2:05,2:10,T4-4,② 品質ゲート,55,白＋黒縁,画面下,フェードイン,
Part4,2:05,2:10,T4-5,映像・軌跡・キャリブレーション確認,30,黄＋黒縁,画面下サブ,フェードイン,
Part4,2:10,2:15,T4-6,③ 段階的実機評価,55,白＋黒縁,画面下,フェードイン,
Part4,2:10,2:15,T4-7,停止 → 非接触 → 近接 → 接触,30,黄＋黒縁,画面下サブ,フェードイン,
Part4,2:15,2:20,T4-8,④ 接触結果で改善判定,55,白＋黒縁,画面下,フェードイン,
Part4,2:15,2:20,T4-9,滑り・ずれ・把持後の安定性で評価,30,黄＋黒縁,画面下サブ,フェードイン,
Part5,2:20,2:25,T5-1,見る・考えるAIから、,50,白＋黒縁,画面下,フェードイン,
Part5,2:23,2:28,T5-2,触れて掴むAIへ。,60,黄＋黒縁,画面下,ズームイン,
Part5,2:25,2:30,T5-3,130件超 / 50社超 / リピート率3割,40,白＋黒縁,画面中央,数字パネル,公開許諾要確認
Part5,2:28,2:35,T5-4,最後の接点から、フィジカルAIを現場へ。,70,白＋黒縁,画面中央,ズームイン,キャッチコピー
Part5,2:30,2:35,T5-5,構想段階からのコクリエーション、把持テスト、AI制御実証,35,白＋黒縁,画面下,フェードイン,
Part5,2:32,2:35,T5-6,kiq-robotics.co.jp,55,黄太字＋黒縁,画面下中央,フェードイン,CTA
