パート,時間範囲,カテゴリ,素材ID,内容,撮影方法,必要尺,優先度,ステータス,担当,備考
Part1,0:00-0:20,映像,①-1,柔軟指装着ロボットアームの引きカット,自社撮影,5秒,高,未着手,,三脚固定60fps
Part1,0:00-0:20,映像,①-2,柔軟指がワークに接近する寄り（スロー）,自社撮影,5秒,高,未着手,,60fpsで撮影
Part1,0:00-0:20,映像,①-3,多品種ワーク並列ショット,自社撮影,5秒,中,未着手,,コネクタ・容器・工具など
Part1,0:00-0:20,グラフィック,①-G1,位置ずれ・形状差・滑り・ワーク傷の図解アニメ,作成,5秒,高,未着手,,Canva or After Effects
Part2,0:20-1:00,映像,②-1,ラティス構造のマクロクローズアップ,自社撮影,3秒,高,未着手,,マクロレンズ推奨
Part2,0:20-1:00,映像,②-2,柔軟指がワーク形状にならって変形する動作（スロー）,自社撮影,5秒,高,未着手,,複数アングル
Part2,0:20-1:00,映像,②-3,多品種ワーク連続把持動作,自社撮影,10秒,高,未着手,,5種類程度
Part2,0:20-1:00,映像,②-4,数mmずれた状態から把持する動作（スロー）,自社撮影,5秒,中,未着手,,接触瞬間が肝
Part2,0:20-1:00,映像,②-5,デリケートワーク把持（豆腐・ゼリー等）,既存流用,5秒,中,未着手,,4月動画から流用可
Part2,0:20-1:00,グラフィック,②-G1,3つの強みアイコン,作成,40秒,高,未着手,,多品種・位置ずれ・面接触
Part2,0:20-1:00,グラフィック,②-G2,面接触 vs 点接触の比較図,作成,5秒,中,未着手,,図解
Part2,0:20-1:00,グラフィック,②-G3,Lattice Finger Synergy 概念図,作成,10秒,高,未着手,,AIと柔軟指の連携模式図
Part3,1:00-1:55,映像,③-1,九州工業大学の研究室外観,取材撮影,3秒,高,未着手,,建物・看板
Part3,1:00-1:55,映像,③-2,Hibikino-Musashi@Home ロボット全体,取材撮影,5秒,高,未着手,,取材時撮影
Part3,1:00-1:55,映像,③-3,ロボットが柔軟指でワーク把持する動作,取材撮影,10秒,高,未着手,,複数アングル
Part3,1:00-1:55,映像,③-4,動作データ収集の様子,取材撮影,5秒,中,未着手,,PC画面・撮影機材
Part3,1:00-1:55,映像,③-5,田向権教授インタビュー（バストショット）,取材撮影,35秒,最高,未着手,,ピンマイク必須
Part3,1:00-1:55,映像,③-6,インタビュー中のインサート用カット,取材撮影,5秒,中,未着手,,手元・ロボット動作
Part3,1:00-1:55,グラフィック,③-G1,田向教授名前カード,作成,5秒,高,未着手,,肩書き表示
Part4,1:55-2:20,映像,④-1,教師データ収集（ハンドガイド利用）,自社撮影,5秒,高,未着手,,可搬データ収集を表現
Part4,1:55-2:20,映像,④-2,品質ゲート画面（映像・軌跡・キャリブレーション）,自社撮影,5秒,高,未着手,,PC画面録画もOK
Part4,1:55-2:20,映像,④-3,段階的実機評価（停止→非接触→近接→接触）,自社撮影,10秒,高,未着手,,4段階を順番に
Part4,1:55-2:20,映像,④-4,接触後の対象物挙動確認,自社撮影,5秒,中,未着手,,滑り・ずれ・安定性
Part4,1:55-2:20,グラフィック,④-G1,PoC Loop 循環図解,作成,全25秒,高,未着手,,4段階のループアニメ
Part5,2:20-2:35,映像,⑤-1,柔軟指のスタイリッシュなクローズアップ,自社撮影,5秒,高,未着手,,ライティング重視
Part5,2:20-2:35,映像,⑤-2,実機ロボットが安定把持するカット,自社撮影,5秒,高,未着手,,成功シーン
Part5,2:20-2:35,グラフィック,⑤-G1,数字パネル（130件超・50社超・リピート率3割）,作成,5秒,中,未着手,,公開許諾確認後
Part5,2:20-2:35,グラフィック,⑤-G2,KiQ Roboticsロゴアニメーション,作成,3秒,高,未着手,,フェードイン
全体,共通,音楽,M-1,シネマティック系BGM（Part1-3用）,選定,80秒,高,未着手,,YouTubeオーディオライブラリ
全体,共通,音楽,M-2,前向き・力強い系BGM（Part4-5用）,選定,40秒,高,未着手,,コンテンツID未登録のもの
全体,共通,音楽,M-3,アンビエント系BGM（インタビュー用）,選定,55秒,中,未着手,,音量控えめ
全体,共通,効果音,SE-1,キランSE（キャッチコピー出現時）,選定,1秒,中,未着手,,
全体,共通,効果音,SE-2,ポンSE（切替時用）,選定,1秒×10,高,未着手,,複数箇所で使用
全体,共通,効果音,SE-3,締めSE（エンディング）,選定,2秒,中,未着手,,
